"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BTLA","BTLA",0.481810833513996,4.59621590028625,3.9698380565754,8.26505293558558e-05,0.0155047423164709,1.29697474270768
"TM4SF4","TM4SF4",1.25549194412761,4.63972099296159,3.967698722208,8.33724126517092e-05,0.0155047423164709,1.28929739385427
"C3","C3",0.570975570088513,13.8746208661255,3.96303948322244,8.49653332432286e-05,0.0156429675034108,1.27259033063312
"ADRA2A","ADRA2A",0.714004525197877,7.12860662657423,3.95454323644948,8.79446008526516e-05,0.0157695280496927,1.24217175342745
"CASKIN1","CASKIN1",-0.623983400731627,3.44921187490316,-3.95297169793203,8.85064107540322e-05,0.0157695280496927,1.23655195598049
"CCL19","CCL19",0.730632069905485,7.905623001633,3.95232714015797,8.87378160091654e-05,0.0157695280496927,1.23424763078858
"WDR86","WDR86",-0.687484707540674,5.7172640271464,-3.94541238053637,9.12566451305614e-05,0.0157695280496927,1.20954911685198
"CYBB","CYBB",0.475756131772299,10.6721289099782,3.94289760541315,9.21893820447453e-05,0.0157695280496927,1.20057672768361
"BLNK","BLNK",0.356801157082841,7.38687760785069,3.94273236344263,9.22509859061381e-05,0.0157695280496927,1.1999873530959
"HLA-DPA1","HLA-DPA1",0.461842078989836,13.079555052817,3.94253236154331,9.23256007840586e-05,0.0157695280496927,1.19927402987433
"APOL3","APOL3",0.372199411964137,9.24071359679836,3.94205219216614,9.2504971450047e-05,0.0157695280496927,1.19756160435435
"YKT6","YKT6",-0.19319756560963,11.2666305526848,-3.93629241052774,9.46824701316077e-05,0.015992650987092,1.17703571913225
"HIST1H3J","HIST1H3J",-0.31255575475222,0.902777073843826,-3.93243284225394,9.61686598275605e-05,0.0159934739328872,1.16329723992955
"C5orf41","C5orf41",0.265790841683493,8.20854054584512,3.93177356413368,9.64247247053649e-05,0.0159934739328872,1.16095174023128
"PSRC1","PSRC1",-0.338038476478352,6.92760228832488,-3.92616244953331,9.86303794851702e-05,0.0162132492562631,1.14100407902076
